Species	ppl①	ppl②	ppl③	ppl④	ppl⑤	pss①	pss②	pss③	pss④	pss⑤	bbc①	bbc②	bbc③	bbc④	bbc⑤	sre①	sre②	sre③	sre④	sre⑤
PC30:1	0.028152006	0.023342182	0.021775293	0.036678332	0.028904008	0.023593074	0.025437342	0.019211902	0.024178557	0.023614719	0.037011357	0.035279759	0.046750267	0.027199145	0.052358656	0.025246643	0.016835196	0.028984964	0.03109734	0.035551708
PC30:0	0.003679766	0.003698448	0.003176669	0.005653701	0.004174334	0.002636468	0.002559414	0.002138052	0.002591851	0.002445395	0.005770867	0.005647718	0.007006339	0.003801592	0.008106711	0.003392393	0.001932185	0.003214989	0.00370226	0.00445398
PC31:2	0.000511561	0.000450574	0.000445085	0.000443571	0.000447279	0.00038525	0.000473463	0.000473694	0.000379781	0.000341674	0.000452387	0.000305199	0.000491978	0.000276899	0.000511068	0.000375742	0.000306038	0.000365453	0.000375798	0.000465979
PC31:1	0.001040133	0.001025434	0.000920993	0.001138177	0.001197677	0.00118606	0.001595983	0.001260557	0.001024514	0.001011892	0.001748617	0.001414258	0.001981175	0.001230647	0.002232006	0.001412274	0.000994442	0.001403495	0.001820811	0.001920619
PC31:0	0.00014385	0.000173464	0.000164807	0.000169131	0.000182207	0.000204698	0.000263475	0.000186098	0.000187445	0.000271857	0.000301378	0.000341431	0.000406313	0.00032276	0.000453611	0.00022125	0.000115312	0.000241849	0.000313592	0.000336218
PC32:3	0.002480248	0.002505931	0.002084852	0.002740487	0.002425171	0.002138017	0.002401424	0.002232702	0.002163838	0.002218195	0.001266729	0.000991063	0.001444896	0.000790889	0.001992078	0.00222353	0.00104501	0.002027664	0.002354848	0.002474993
PC32:2	0.064160199	0.053619455	0.05271901	0.072326297	0.067130078	0.058427312	0.058020157	0.057538545	0.058664912	0.066814782	0.062364536	0.060390023	0.079983053	0.050356515	0.09471794	0.065989706	0.045750723	0.072332761	0.08388786	0.095047613
PC32:1	0.071384367	0.059501612	0.056511767	0.080894878	0.069186166	0.066086422	0.065617422	0.054253338	0.06917049	0.069605759	0.074144677	0.06874695	0.090879896	0.055734844	0.114256887	0.075548473	0.053249468	0.078662852	0.087361906	0.104729363
PC32:0	0.006623794	0.005974227	0.005774629	0.00818063	0.006641125	0.005492857	0.006030918	0.004541495	0.005833535	0.00565904	0.007240287	0.006672658	0.008224889	0.004709711	0.011078223	0.006585616	0.004758502	0.007055083	0.00741801	0.009203885
PC33:3	0.00018602	0.000171067	0.00015506	0.000151954	0.000153409	0.000103058	0.000156408	0.000121837	0.000128767	7.75983E-05	6.51393E-05	6.43081E-05	6.46771E-05	2.37486E-05	8.5915E-05	0.000122833	9.02888E-05	7.60656E-05	0.000106843	0.000124377
PC33:2	0.001220831	0.001100445	0.001107704	0.001268876	0.001418361	0.001064917	0.001480064	0.001214957	0.001216926	0.00104712	0.001092932	0.00095622	0.001401327	0.000832823	0.001687419	0.001537915	0.000876223	0.001440517	0.001806273	0.001779869
PC33:1	0.000931979	0.000821141	0.000951202	0.001160782	0.001149057	0.001322457	0.001600738	0.001225454	0.001577996	0.001496808	0.001442176	0.001445492	0.001954033	0.001496827	0.002355418	0.001725996	0.001060047	0.001678263	0.002051019	0.002106745
